date,eurusd_open,eurusd_high,eurusd_low,eurusd_close,eurusd_volume,gold_open,gold_high,gold_low,gold_close,gold_volume,oil_open,oil_high,oil_low,oil_close,oil_volume,eurusd_return,gold_return,oil_return,war_event_count,original_event_dates,categories,event_summary,war_event,year_month,market_condition,oil_ma_10,oil_ema_10,oil_ma_20,oil_ema_20,oil_ma_50,oil_ema_50,oil_ma_signal,oil_ema_signal,gold_ma_10,gold_ema_10,gold_ma_20,gold_ema_20,gold_ma_50,gold_ema_50,gold_ma_signal,gold_ema_signal,eurusd_ma_10,eurusd_ema_10,eurusd_ma_20,eurusd_ema_20,eurusd_ma_50,eurusd_ema_50,eurusd_ma_signal,eurusd_ema_signal
2025-04-02,1.0795987844467163,1.087263822555542,1.0782020092010498,1.0795987844467163,0,3120.699951171875,3168.60009765625,3117.39990234375,3139.89990234375,5946,74.4000015258789,75.45999908447266,73.70999908447266,74.94999694824219,61062,-0.2116018504694228,0.6733143306144385,0.6175313433542051,0,No major war event,No major war event,No major war event,0,2025-04,Normal day,,74.94999694824219,,74.94999694824219,,74.94999694824219,Bearish,Bearish,,3139.89990234375,,3139.89990234375,,3139.89990234375,Bearish,Bearish,,1.0795987844467163,,1.0795987844467163,,1.0795987844467163,Bearish,Bearish
2025-04-03,1.090869426727295,1.1133378744125366,1.088245868682861,1.090869426727295,0,3150.0,3166.89990234375,3052.0,3097.0,5516,73.58999633789062,73.62000274658203,69.47000122070312,70.13999938964844,100212,1.0439658179454805,-1.3662824828182485,-6.417608745088232,0,No major war event,No major war event,No major war event,0,2025-04,Normal day,,74.07545193758878,,74.49190194266183,,74.76136959300322,Bearish,Bearish,,3132.0999200994315,,3135.8141973586307,,3138.2175532322303,Bearish,Bearish,,1.0816479921340942,,1.0806721789496285,,1.0800407704185038,Bearish,Bullish
2025-04-04,1.1043744087219238,1.1107531785964966,1.0964791774749756,1.1043744087219238,0,3110.5,3127.699951171875,3011.0,3012.0,3247,69.80999755859375,70.05000305175781,64.01000213623047,65.58000183105469,121211,1.2380016951382578,-2.744591540200192,-6.501279723801556,0,No major war event,No major war event,No major war event,0,2025-04,Normal day,,72.53082464549166,,73.6431495510802,,74.40131595527976,Bearish,Bearish,,3110.2635709904434,,3124.022369038761,,3133.267845262339,Bearish,Bearish,,1.085780067877336,,1.0829295341660377,,1.0809950307441283,Bearish,Bullish
2025-04-07,1.098454475402832,1.1049845218658447,1.0903223752975464,1.098454475402832,0,3016.39990234375,3050.800048828125,2949.699951171875,2951.300048828125,4424,64.79000091552734,67.41000366210938,62.5099983215332,64.20999908447266,114411,-0.5360440510336351,-2.0152706232362205,-2.08905566991503,0,No major war event,No major war event,No major war event,0,2025-04,Normal day,,71.01794727076093,,72.74475426854615,,74.00165647015007,Bearish,Bearish,,3081.3611124154763,,3107.5726242567957,,3126.131853245311,Bearish,Bearish,,1.0880845056092443,,1.0844080999981134,,1.0816797148483912,Bearish,Bullish
2025-04-08,1.0915361642837524,1.0991909503936768,1.0891940593719482,1.0915361642837524,0,2994.0,3014.5,2968.39990234375,2968.39990234375,3213,64.44000244140625,65.19000244140625,61.27999877929688,62.81999969482422,89690,-0.629822288861126,0.579400712659317,-2.1647709227028638,0,No major war event,No major war event,No major war event,0,2025-04,Normal day,,69.52741134786334,,71.7995395472393,,73.56316012601964,Bearish,Bearish,,3060.822710584253,,3094.318079312696,,3119.946286543289,Bearish,Bearish,,1.0887120799137002,,1.0850869632634124,,1.082066242277229,Bearish,Bullish
2025-04-09,1.0980443954467771,1.10948383808136,1.0972250699996948,1.0980443954467771,0,2965.800048828125,3090.39990234375,2965.800048828125,3056.5,2175,61.54999923706055,66.0199966430664,58.38999938964844,65.4800033569336,127044,0.5962451246217082,2.9679322380616213,4.234326130263466,0,No major war event,No major war event,No major war event,0,2025-04,Normal day,,68.79151898587611,,71.19767895768638,,73.24617358605548,Bearish,Bearish,,3060.0367632052976,,3090.716357473392,,3117.458196874925,Bearish,Bearish,,1.0904088645560777,,1.0863210044237328,,1.082692836519172,Bearish,Bullish
2025-04-10,1.0952062606811523,1.122536063194275,1.0953142642974854,1.0952062606811523,0,3073.89990234375,3167.0,3072.10009765625,3155.199951171875,3456,65.80999755859375,66.2300033569336,62.0099983215332,63.33000183105469,78111,-0.2584717682994952,3.22918210933667,-3.283447488783986,0,No major war event,No major war event,No major war event,0,2025-04,Normal day,,67.79851586681767,,70.44837637419765,,72.85730410546722,Bearish,Bearish,,3077.3391610174026,,3096.8576521113423,,3118.9382656708835,Bearish,Bearish,,1.0912811183970004,,1.0871672193053918,,1.083183559035328,Bearish,Bullish
2025-04-11,1.1257838010787964,1.1471836566925049,1.1250872611999512,1.1257838010787964,0,3182.10009765625,3235.0,3182.10009765625,3222.199951171875,862,63.45000076293945,65.05000305175781,62.7599983215332,64.76000213623047,58543,2.791943535697716,2.123478734687345,2.258013996258179,0,No major war event,No major war event,No major war event,0,2025-04,Normal day,,67.24605882489271,,69.90662644677221,,72.53976285177167,Bearish,Bearish,,3103.677486500034,,3108.795013926631,,3122.9877435336675,Bearish,Bearish,,1.0975543334300542,,1.0908449889980971,,1.084854156762523,Bearish,Bullish
2025-04-14,1.1343141794204712,1.1424784660339355,1.1299690008163452,1.1343141794204712,0,3215.5,3228.800048828125,3194.5,3204.800048828125,263,64.88999938964844,65.9000015258789,64.04000091552734,64.87999725341797,43786,0.7577279343956134,-0.5400007016144959,0.185292021663419,0,No major war event,No major war event,No major war event,0,2025-04,Normal day,,66.81586581189731,,69.42789985692895,,72.23937988713035,Bearish,Bearish,,3122.063406923323,,3117.9383505839164,,3126.1960692314897,Bearish,Bearish,,1.1042379417919481,,1.094984911895466,,1.0867937654942073,Bearish,Bullish
2025-04-15,1.1339668035507202,1.1377859115600586,1.1285662651062012,1.1339668035507202,0,3216.0,3218.699951171875,3214.0,3218.699951171875,390,64.93000030517578,65.38999938964844,64.2300033569336,64.66999816894531,40096,-0.0306243081549473,0.4337213595847489,-0.3236730785490138,0,No major war event,No major war event,No major war event,0,2025-04,Normal day,66.08199996948242,66.4257080586333,,68.97476636283527,,71.942541388378,Bearish,Bearish,3102.5999755859375,3139.6336876957866,,3127.5346934970553,,3129.823672444838,Bearish,Bullish,1.1052148699760438,1.109643189384452,,1.0986974730054901,,1.088643688555247,Bearish,Bullish
