Date,Close,High,Low,Open,Volume
2025-04-01,74.48999786376953,75.27999877929688,74.33999633789062,74.62999725341797,54055
2025-04-02,74.94999694824219,75.45999908447266,73.70999908447266,74.4000015258789,61062
2025-04-03,70.13999938964844,73.62000274658203,69.47000122070312,73.58999633789062,100212
2025-04-04,65.58000183105469,70.05000305175781,64.01000213623047,69.80999755859375,121211
2025-04-07,64.20999908447266,67.41000366210938,62.5099983215332,64.79000091552734,114411
2025-04-08,62.81999969482422,65.19000244140625,61.27999877929688,64.44000244140625,89690
2025-04-09,65.4800033569336,66.0199966430664,58.38999938964844,61.54999923706055,127044
2025-04-10,63.33000183105469,66.2300033569336,62.0099983215332,65.80999755859375,78111
2025-04-11,64.76000213623047,65.05000305175781,62.7599983215332,63.45000076293945,58543
2025-04-14,64.87999725341797,65.9000015258789,64.04000091552734,64.88999938964844,43786
2025-04-15,64.66999816894531,65.38999938964844,64.2300033569336,64.93000030517578,40096
2025-04-16,65.8499984741211,66.30999755859375,63.79999923706055,64.86000061035156,50308
2025-04-17,67.95999908447266,68.12999725341797,65.94999694824219,66.01000213623047,39781
2025-04-21,66.26000213623047,67.77999877929688,65.68000030517578,67.77999877929688,38512
2025-04-22,67.44000244140625,68.04000091552734,66.55000305175781,66.5999984741211,46152
2025-04-23,66.12000274658203,68.63999938964844,65.29000091552734,67.76000213623047,58914
2025-04-24,66.55000305175781,67.02999877929688,65.80999755859375,66.22000122070312,36169
2025-04-25,66.87000274658203,67.18000030517578,65.55999755859375,66.56999969482422,30729
2025-04-28,65.86000061035156,67.52999877929688,65.25,67.20999908447266,21525
2025-04-29,64.25,65.80999755859375,63.88999938964844,65.75,17528
2025-04-30,63.119998931884766,63.75,63.0,63.54999923706055,79025
2025-05-01,62.130001068115234,62.36000061035156,59.310001373291016,61.13999938964844,66984
2025-05-02,61.290000915527344,62.720001220703125,60.70000076293945,61.880001068115234,58444
2025-05-05,60.22999954223633,60.77000045776367,58.40999984741211,59.5099983215332,49504
2025-05-06,62.150001525878906,62.79999923706055,60.18999862670898,60.27999877929688,63444
2025-05-07,61.119998931884766,63.209999084472656,60.84999847412109,62.06999969482422,60579
2025-05-08,62.84000015258789,63.209999084472656,60.77999877929688,60.93000030517578,56931
2025-05-09,63.90999984741211,64.2699966430664,62.84999847412109,63.25,51994
2025-05-12,64.95999908447266,66.37999725341797,63.88999938964844,64.2300033569336,62946
2025-05-13,66.62999725341797,66.80000305175781,64.6500015258789,64.91999816894531,55567
2025-05-14,66.08999633789062,66.58999633789062,65.68000030517578,66.5199966430664,49980
2025-05-15,64.52999877929688,65.83999633789062,63.43999862670898,65.76000213623047,70642
2025-05-16,65.41000366210938,65.54000091552734,64.16999816894531,64.62999725341797,38629
2025-05-19,65.54000091552734,66.01000213623047,64.43000030517578,65.30999755859375,43539
2025-05-20,65.37999725341797,66.0,64.8499984741211,65.56999969482422,42663
2025-05-21,64.91000366210938,67.48999786376953,64.61000061035156,65.61000061035156,58658
