year_month,eurusd_return,gold_return,oil_return
2025-04,0.27479155548168926,0.32571847095838286,-0.8295144907890716
2025-05,-0.002752404994954031,-0.007395158638975509,0.0712713721788219
2025-06,0.15218275315786234,0.013922403988860266,0.32950307638293486
2025-07,-0.11092871734003229,0.0013088247241941256,0.31699361168814333
2025-08,0.10517877799249842,0.2581342576440424,-0.28769485765355746
2025-09,0.021284615345585838,0.48333141595037316,-0.06635263768132438
2025-10,-0.058914301880389534,0.17860491250986105,-0.11214831243346497
2025-11,0.012746573036330998,0.3101167272769183,-0.14348515745365062
2025-12,0.05767045398383444,0.12259276880746435,-0.16250868896899606
2026-01,0.09319335789890139,0.4800517068395793,0.7707970892720828
2026-02,-0.07132750386233835,0.5710223714930726,0.15802440512430824
2026-03,-0.13276691912884708,-0.5079140173340995,2.393425053509292
2026-04,0.09358484395626836,-0.02387676261193595,0.0034756751407041477
2026-05,-0.01903860538734222,-0.17380817899209472,-0.11519364733954843
